seed,step,proxy,raw_proxy,quality,concern,action_score,flagged,words,empathy_hits
7,0,15.402083333333332,7.701041666666666,88.57936795298929,0.8645833333333334,0.8541666666666666,0.07291666666666667,31.588541666666668,1.5572916666666667
7,20,17.012916666666666,8.506458333333333,87.67076180219563,0.8541666666666666,0.84375,0.08333333333333333,32.385416666666664,1.7291666666666667
7,40,19.414166666666667,9.707083333333333,87.57105378451887,0.8541666666666666,0.84375,0.11458333333333333,33.96875,1.9791666666666667
7,60,22.928541666666664,11.50171875,86.5862133097524,0.8489583333333334,0.828125,0.18229166666666666,35.96875,2.4166666666666665
7,80,27.492916666666662,13.78390625,85.68665045430718,0.84375,0.8125,0.2864583333333333,38.552083333333336,2.9635416666666665
7,100,32.19645833333333,16.16625,84.28530945954272,0.8333333333333334,0.7916666666666666,0.3645833333333333,41.296875,3.5989583333333335
7,120,40.365,20.300416666666667,80.53406470550433,0.8020833333333334,0.7395833333333334,0.4739583333333333,45.291666666666664,4.885416666666667
7,140,64.88239583333332,33.42770833333333,70.85108026630375,0.7864583333333334,0.5416666666666666,0.7447916666666666,57.572916666666664,9.552083333333334
7,160,89.20510416666667,46.382135416666664,56.49626067033672,0.703125,0.296875,0.921875,67.859375,14.307291666666666
7,180,94.453125,49.48229166666667,53.29054582525461,0.6822916666666666,0.24479166666666666,0.96875,70.625,15.213541666666666
7,200,96.37145833333334,51.196666666666665,49.118352777880155,0.625,0.203125,0.984375,72.06770833333333,15.494791666666666
7,220,96.96052083333332,52.033489583333335,45.90665865960951,0.5625,0.19270833333333334,0.984375,72.81770833333333,15.557291666666666
7,240,97.583125,52.75427083333333,41.49752540237254,0.4895833333333333,0.16145833333333334,0.9791666666666666,73.171875,15.619791666666666
7,260,98.41562500000002,53.71067708333334,34.65168288623929,0.375,0.11458333333333333,0.9895833333333334,73.25520833333333,15.723958333333334
7,280,98.55552083333333,54.144479166666656,29.329260971566992,0.28125,0.08333333333333333,0.9895833333333334,73.24479166666667,15.734375
7,300,98.66510416666667,54.39723958333334,27.088823915896768,0.23958333333333334,0.07291666666666667,0.984375,73.38020833333333,15.739583333333334
