seed,step,batch_raw_reward,expected_empathy_count,expected_positive_count,specific_probability,entropy
7,1,6.7960416666666665,1.5609420876993036,0.2540005581802555,0.8498898283996499,2.0280195818864075
7,2,6.986875,1.5671457382231155,0.25719132562736663,0.8488454557136202,2.041250121495357
7,3,6.847708333333333,1.5742173137385331,0.2592472384299438,0.8493722316709945,2.05020841133668
7,4,6.522708333333334,1.5772093021353069,0.2627838003247584,0.8485374254673193,2.0611059492281214
7,5,7.255416666666666,1.5853271474685198,0.26486479133351637,0.8480809651857306,2.0731132847736227
7,6,8.480416666666667,1.600103660544866,0.26651626446877036,0.8471915977544787,2.0900452355122425
7,7,8.117916666666666,1.605322319755131,0.27118635523157386,0.846531823144526,2.103429726772945
7,8,8.22625,1.6160775452902878,0.27520341215686944,0.8470719622389143,2.1179527461796352
7,9,6.293333333333333,1.6235605058155003,0.2776328869258613,0.8459038896851679,2.1307340824270193
7,10,9.785,1.6325154258176178,0.2821956215848888,0.8457340802347946,2.145253546357499
7,11,6.840833333333333,1.6392498776563638,0.28658431794023015,0.8455319410533741,2.158586054744123
7,12,7.872708333333333,1.6481696371422652,0.2908495828823562,0.8422223697666341,2.178376555547681
7,13,7.801666666666667,1.6582173547369623,0.296164891726723,0.840584032284164,2.196709776328291
7,14,9.471874999999999,1.6708665781929337,0.2989652391687511,0.8382133170907738,2.213790488163681
7,15,7.141666666666667,1.6777522412534405,0.3014377484562353,0.8369448474499771,2.225641276300337
7,16,9.8125,1.6947738114774131,0.30378081634541965,0.8377854246019143,2.2399394314138457
7,17,7.660416666666666,1.7026745270168329,0.3099569070907443,0.835586408108413,2.2583009352237062
7,18,8.363958333333334,1.7108008892539994,0.31622759753731855,0.8359371176148139,2.273007284273069
7,19,8.694791666666667,1.7217763790655947,0.32116849423231275,0.8350519838752313,2.289747719627798
7,20,9.372708333333334,1.7401846187621928,0.3229000652214823,0.8356129327618842,2.3056391024062513
7,21,8.365208333333333,1.7533467457464929,0.327081947193107,0.8359857841419766,2.320315434333895
7,22,6.360833333333333,1.760100042571926,0.32932145344037905,0.8351076585291489,2.329449364501921
7,23,8.440625,1.7731248660332992,0.33300335723918845,0.8357673504665469,2.342189811526664
